Model,MAE Acceleration,RMSE Acceleration,NRMSE Acceleration,MAE Speed,RMSE Speed,NRMSE Speed,MAE Position,RMSE Position,NRMSE Position
CNN,1.7396910130715404,3.4543078104027893,0.11304423095755416,6.009686130748359,7.997634498931247,0.27378375812207145,81.22646453466135,120.37076004136048,0.026749839324289683
LSTM,3.1234363589527456,4.469915921019101,0.146280596713126,6.316100528887554,8.332881704991339,0.2852603065924125,39.73609999474158,56.595287080810664,0.012577097921484738
Transformer,0.640960055934841,1.4412041574082086,0.047164243770170415,7.40591131659899,9.368305236203263,0.32070605566498006,288.25197857393624,420.44578441591057,0.0934351263864748
LGBM,0.8725781276426768,1.6630328943057824,0.05442371812603212,5.4275336977726445,7.334919154966014,0.25109696273773513,130.73082986459156,170.78722055509513,0.03795382455773338
XGboost,0.6739494849078322,1.4840836207901178,0.048567499133598875,5.103315450400761,6.981705722671794,0.2390053747906202,164.89895686146374,238.0604612839032,0.0529038703969516
Feedforward_NN,0.6410603119252459,1.4438004961049242,0.04724921046317666,4.2884682557833615,5.636771271075303,0.19296410988471066,87.43304118310408,142.48116463598205,0.03166340612488092
SVM,0.6087957880010172,1.4304370288557298,0.0468118832297546,10.308318260152038,12.316116833804243,0.42161876148254085,379.70982593909883,587.6996498950625,0.13060373798613872
RF,0.8998943604527292,1.6963927013123985,0.05551543720115288,6.458930794604496,8.314581933031041,0.2846338488140861,212.45773276597563,342.4174830563835,0.07609499724383743
IDM,0.642171330546853,1.3534479649855389,0.04429237136369049,9.39962343813508,11.16152804776343,0.38209361727019947,349.6747994763014,532.1068093088821,0.11824941246098467
ACC,0.9067609015978649,1.5119370885054084,0.04947902005477843,6.119520478663036,8.12567927516107,0.27816712673547656,158.08991566311485,261.80925557769615,0.05818153443501435
