Model,MAE Acceleration,RMSE Acceleration,MSE Acceleration,MAE Speed,RMSE Speed,MSE Speed,MAE Position,RMSE Position,MSE Position,Acceleration Z-Score,Speed Z-Score,Position Z-Score,Average Z-Score,Acceleration Mean (μ),Acceleration Standard Deviation (σ),Acceleration Coefficient of Variation (CV),Platoon Stability Ratio (PSR),FFT Stability (acceleration),KS Statistic Acceleration,Earth Mover Distance Acceleration,DTW Acceleration,KL Divergence Acceleration,KS Statistic Speed,Earth Mover Distance Speed,DTW Speed,KL Divergence Speed,KS Statistic Position,Earth Mover Distance Position,DTW Position,KL Divergence Position,Relative_Acceleration Coefficient of Variation (CV),Relative_Platoon Stability Ratio (PSR),Relative_FFT Stability (acceleration),Overall Score
LSTM,1.0,1.0,1.0,0.33682438459973507,0.4036488917358098,0.31409068606574436,0.0,0.0,0.0,1.0,0.3521329709368963,0.0,0.6466119331080372,0.8218049910840085,1.0,0.15469581282677716,1.0,1.0,0.46173469387755106,1.0000000000000002,1.0,0.8437465801983131,0.3302107728337237,0.0,0.9999999999999999,0.08557030098760632,0.0,0.0,2.97625281162478e-05,0.0,0.9946382494529045,0.9603072113187242,0.9830567559413351,-0.794083250645353
CNN,0.44972440122625856,0.6741156575506998,0.5565483300224758,0.28592371466330374,0.3534572669858064,0.26843479290288585,0.12203991477479764,0.12008086814164359,0.032982156696384324,0.554986077486989,0.3032295200547908,0.09229979891191298,0.4363643560668915,0.7088422863916758,0.6409349720632609,0.12982929511584174,0.3696765022955223,0.7214586000314037,0.15051020408163263,0.3214580875323148,0.39332159117844007,0.0845355353581686,0.3934426229508198,0.013508137626466354,0.633863220094473,0.09642808349467089,0.04798464491362765,0.042231394864655464,0.0,0.026534611517048265,0.9955001219399786,0.9853265087139507,0.9877761508614452,-0.874861078428452
LGBM,0.10489862554863043,0.09933839644360182,0.05145692031799287,0.18921824317261215,0.25423866274661033,0.18369775426736998,0.2676522417051219,0.21500846438013893,0.07588009929609627,0.08125924775729564,0.2096652138041769,0.18720076069002478,0.18743931451459622,0.9999999999999999,0.06885621716975698,0.0,0.4495751615580587,0.07653647214240811,0.15816326530612246,0.11258362467443193,0.12254661140060619,0.34723322996654704,0.836065573770492,0.4295147853300859,0.48884912210397957,0.12533723401227362,0.08061420345489444,0.30308418743048116,0.09150167904579745,0.03691298710721774,1.0,0.9821551081159255,0.998703223873102,-1.0861523337553243
XGboost,0.02590974537651558,0.04191785625508032,0.02042517751941486,0.1353600495072228,0.201357219650573,0.14152716982595395,0.3681544993485976,0.34167517141364184,0.15625848901292635,0.024731511669837558,0.16005082661111583,0.2899996431532463,0.1815032880080218,0.4180036382614425,0.009763545261081974,0.08735582995721802,0.02117672883439813,0.012490191272143902,0.13520408163265307,0.08663033554855669,0.038582340350661715,0.32493149931280874,0.0,0.20171395175262313,0.0,0.0,0.22072936660268716,0.38054804855900876,0.10165904759445252,0.046423928591411104,0.9969722505056451,0.9991594365774156,0.9997883756409367,-1.094116014945003
ACC,0.11849212847308646,0.05085536760069376,0.025023373614523198,0.30416907756021455,0.37262752476440064,0.28565141451211323,0.3481263598815398,0.38639104263705115,0.19095084589001038,0.061622783495161135,0.321447936270127,0.30977799541274287,0.30144634857382435,0.4851264238384944,0.09741589152956487,0.08678851336409191,0.029254031096145553,0.0993982865129901,0.19132653061224492,0.0724210892222802,0.13903681677853064,0.14943530076530923,0.1545667447306791,0.27390160412270503,0.06890598298960171,0.056615544573238474,0.19961612284069097,0.3376269179793649,0.1352528181223508,0.11150127299023024,0.9969919136755654,0.9988388259256252,0.9983158705725974,-1.1181546250700614
RF,0.1157615031803684,0.11004276031874792,0.05763213359521929,0.36055093353588596,0.400909136502541,0.3115501491138917,0.50804406220351,0.5381657843310471,0.3332868350741488,0.09057114759062547,0.3580001163560377,0.4611959439735064,0.41224960147281786,0.47693890601830413,0.0770060021297384,0.08420948465158848,0.04001543377566957,0.0892353063642648,0.0,0.0,0.07307072430663464,0.0,0.3185011709601874,0.3788587299324879,0.3990327186155588,0.0942489859474889,0.33013435700575816,0.5154189406038029,0.2213687547911846,0.1692645049350383,0.9970813027052848,0.9984116758431528,0.9984880644256205,-1.1623535948585446
Feedforward_NN,0.01283067023452078,0.02899196538968432,0.013926268761116856,0.0,0.0,0.0,0.1402959627420413,0.16171186600703763,0.04996628506237666,0.01381727984695541,0.0,0.11806206463195651,0.0,0.7801805652602014,0.00978794635646646,0.010732299450244995,0.09887634807824748,0.016143875363236693,0.6020408163265306,0.10343105926638878,0.028354715438405564,0.40888207829155265,0.6744730679156911,0.23004015136406636,0.3535411790706454,0.18127973426988778,0.01535508637236084,0.17084083734872418,0.05827335784675517,0.022682879918188674,0.9996280189398962,0.9960753220101539,0.9997264703796681,-1.1655500437400288
IDM,0.01327249028405042,0.0,0.0,0.8490502551795297,0.827140432367585,0.7739452549613943,0.9116548598590435,0.8953259576110404,0.8180729630930905,0.0,0.8164193116904037,0.8755679031164261,0.830719559984785,0.0,0.02092232029886537,1.0,0.0,0.02228395012634421,0.35459183673469385,0.09760324423253837,0.03237158254969674,0.3122352567443626,0.927400468384075,0.9421665156972143,0.9010717311953506,1.0,0.7811900191938579,0.9304283564804445,0.7889070142315222,0.8493368163012243,0.9653400408897981,1.0,0.9996224375944183,-1.22355126879828
Transformer,0.012790801319828515,0.028158862423973086,0.013513533788688165,0.5178605876480747,0.5586676015012748,0.4669360190790698,0.7309855427471144,0.6850828628239922,0.5072407746668923,0.01339763645241121,0.5148202443593162,0.6423798834138217,0.5512915829784352,0.41914348692419606,0.0,0.08380624684921473,0.0243461467801421,0.0,0.24234693877551028,0.13647709170760858,0.0,0.42458097209963463,0.3723653395784544,0.5190257525278575,0.2762740273503177,0.0889559259232375,0.5566218809980805,0.7354625378443824,0.4748362124965477,0.3873450121957155,0.9970952789110268,0.9990336335406524,1.0,-1.2907711472093606
SVM,0.0,0.024703948494364608,0.011809832400714704,1.0,1.0,1.0,1.0,1.0,1.0,0.007230263088922717,1.0,1.0000000000000002,1.0,0.16651210999650226,0.0031728980468614387,0.42332417322901367,0.019276589980116565,0.0026795444792925283,0.9999999999999999,0.16156194662949286,0.04653539877384427,0.9999999999999999,1.0,1.0,0.4790197172554004,0.3982547695725107,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.9853276014655223,0.9992348583874237,0.9999545998239213,-1.4971319492860728
