Model,FFT Stability (Acceleration),Theil Inequality (Acceleration),Theil B (Acceleration),Theil V (Acceleration),Theil C (Acceleration),Acceleration Coefficient of Variation (CV),FFT Stability (Speed),Theil Inequality (Speed),Theil B (Speed),Theil V (Speed),Theil C (Speed),Speed Coefficient of Variation (CV),FFT Stability (Position),Theil Inequality (Position),Theil B (Position),Theil V (Position),Theil C (Position),Position Coefficient of Variation (CV),Relative FFT Stability (Acceleration),Relative Acceleration Coefficient of Variation (CV),Relative FFT Stability (Speed),Relative Speed Coefficient of Variation (CV),Relative FFT Stability (Position),Relative Position Coefficient of Variation (CV),Relative Theil Inequality (Acceleration),Relative Theil Inequality (Speed),Relative Theil Inequality (Position),Acceleration Z-Score,Speed Z-Score,Position Z-Score
IDM,1667.9889646608212,0.3798567582253668,0.005151597675514582,0.1451558648520422,0.8496925374724433,57.57374887556436,23.825888546745023,0.5848606798117242,0.6244679915775954,0.039268858384187005,0.33626315003821766,1.3378182528197435,27.456699897235424,0.28091623939529925,0.42658730429579134,0.0005794679102694924,0.5728332277939401,1.9091102326879104,2.767057616814575,2.7645685469347705,1.402412141343125,0.9554510443305418,1.4525408059192129,1.4270512177621604,-0.8309205011044623,1.7711380199606257,1.4683451017290592,2.765813081874673,1.1789315928368334,1.4397960118406865
ACC,234.55124332896423,0.39690164216531154,0.008793351746199938,0.03476980467445635,0.9564368435793436,8.268004571115528,12.494959299632537,0.33128177254021224,0.20071078805324213,0.001403035094692785,0.7978861768520651,0.8126616141228424,17.498512657431853,0.13051390012665284,0.2887007331583874,0.0034344502115535164,0.7078648166300608,1.2422717431480343,-0.4160472771850518,-0.4153704890386967,-0.26595755439955626,-0.16404342350755183,-0.23549630900882373,-0.27670818968439,-0.6592472525354417,-0.14051941146620806,-0.16168785834903218,-0.41570888311187426,-0.21500048895355406,-0.25610224934660686
SVM,766.7138310603142,0.40757431734748667,0.00011198032197237553,0.15872390327135477,0.8411641164066729,26.43810146264136,29.925126087598287,0.5930642848000924,0.5268653089435448,0.0002030617841458243,0.4729316292723095,2.0451622507322327,30.162456897386594,0.309609412921053,0.39911257902732894,3.7708691492621036e-05,0.6008497122811792,2.078076096451861,0.7656778247867847,0.7564970328469774,2.300465854183035,2.463320571575622,1.9112004123559374,1.8587557225873104,-0.5517538353962278,1.8329826055740217,1.77931645233204,0.7610874288168811,2.381893212879328,1.8849780674716239
RF,235.3785589929653,0.45273876917957107,0.006593372327259986,0.04119014681993555,0.9522164808528043,8.128758698594847,13.766311512850269,0.34655837579442694,0.26247749081665783,0.0006302797694554713,0.7368922294138862,0.865038809699216,19.568994842077455,0.17282263679721033,0.3467479923428232,2.9909744134128483e-07,0.6532517085597369,1.4121266818714857,-0.41421013246660704,-0.4243510529034783,-0.07876324236302336,-0.05238915434679131,0.11547628161581307,0.1572678844186817,-0.09686495535624329,-0.0253535546048959,0.2968464676968527,-0.4192805926850427,-0.06557619835490733,0.13637208301724738
LGBM,102.63607399380132,0.44075890218164204,0.056515005681685306,0.049283354085394804,0.8942016402329196,3.582154347902956,7.354917797497911,0.23003357410313688,0.4756853093600866,0.002142917410557127,0.522171773229356,0.36167262349215307,12.216971842279799,0.07705903009713472,0.5742743144660347,0.010073580153707146,0.4156521053802649,0.8923871804648917,-0.7089793068468657,-0.7175810783264472,-1.0227789315347486,-1.1254321651975117,-1.1307834436339208,-1.1706564613311774,-0.2175241920049349,-0.9038000527601389,-0.7410219328621225,-0.7132801925866565,-1.0741055483661301,-1.150719952482549
XGboost,240.9003965576882,0.4192926769518082,0.005366745371374827,0.13721912316863968,0.8574141314599851,8.298634898580406,10.494371436787786,0.27677331397293914,0.1776761594759769,0.0061501418684879626,0.8161736986555349,0.7771032332892559,17.996322827089696,0.11808038980280136,0.4259418029315915,0.001421903584421982,0.5726362934839885,1.3155089628770678,-0.40194828954551426,-0.4133950077765381,-0.560524759899614,-0.23984444685033288,-0.15111126760166527,-0.08958851371207319,-0.4337284579127607,-0.5514427844586576,-0.2964399621786706,-0.4076716486610262,-0.40018460337497347,-0.12034989065686923
FNN,121.0835191965203,0.4042922898213067,0.039538950122195465,0.14494365295666584,0.8155173969211383,4.1616083081700275,7.452087993318061,0.18195292041198977,0.4064311418024107,0.02157541773714564,0.571993440460444,0.4702203171590035,12.98307763604321,0.0646699281038292,0.34251223011280924,0.10971888184371463,0.5477688880434821,0.9791291082307324,-0.6680147415694807,-0.6802096058175855,-1.008471560400379,-0.8940373134478442,-1.0009189429279115,-0.9490325182485359,-0.5848098731667076,-1.2662660793138678,-0.8752927473524863,-0.6741121736935332,-0.9512544369241116,-0.9749757305882236
CNN,301.5869222053629,0.6312136726593993,0.005320252933989109,0.15932730085136934,0.8353524462146414,10.591845007609574,11.47139348079769,0.27046332164863535,0.03359903171281829,0.050854626425422475,0.915546341861759,0.6164779017471483,14.087461873397189,0.0572310551002063,0.0012539702863217925,0.002943944291403447,0.9958020854222742,1.0229453542096207,-0.2671872365089968,-0.26549604699089097,-0.4166677173967596,-0.5822549903069364,-0.8137120209347696,-0.8370828595882599,1.7007047187100643,-0.599011976426529,-0.9559138882250486,-0.2663416417499439,-0.499461353851848,-0.8253974402615147
LSTM,313.408273265462,0.6803271608555159,0.004735308306650972,0.3068212055651406,0.6884434861282085,11.934427949173312,12.017317954542635,0.28333201219252807,0.0345683109755049,0.02635383950552105,0.9390778495189739,0.5795373436593159,13.898648964920076,0.026834946210278307,0.026930459018812972,0.04364779535011888,0.929421745631146,0.9972700915666773,-0.24093663639354324,-0.1789071116622057,-0.33628562089814795,-0.6610024484382778,-0.8457181671952976,-0.9026826576694412,2.1953676390849224,-0.501998671275622,-1.2853413398832692,-0.20992187402787446,-0.4986440346682129,-0.8742004124323695
Transformer,234.83740629687335,0.41060559683812253,0.0057497642857117105,0.16172639214443724,0.8325238435698508,8.106987246670856,14.210039371285633,0.4008946677846038,0.32129351942383816,0.0019531766228127467,0.6767533039533489,1.0304541080956042,23.008542982676232,0.2165900541247603,0.4404241867430326,3.698803987985428e-05,0.5595388252170882,1.656906814378726,-0.41541182108530106,-0.42575518726590544,-0.01342860863393045,0.30023232618908235,0.6985226514114246,0.7826763754657255,-0.5212232903182076,0.3842719047712727,0.7711897070926763,-0.42058350417560325,0.14340185877757594,0.740599513438575
