Model,Mean Acceleration (μ),Standard Deviation (σ),Coefficient of Variation (CV),Platoon Stability Ratio (PSR),FFT Stability
Original,0.07069073224074063,2.0395503646146333,28.851736287988192,25.193493156396116,59.020574604105796
IDM,-0.026452496215462966,1.5236614757872813,57.59991281641752,5.870444497407684,44.14892427133985
ACC,0.21246941711154638,1.7574964296476554,8.271761901266808,15.625379343682862,50.04743537000505
SVM,0.055553739597670605,1.469402859454306,26.450116051519938,12.298340834031665,42.649374256254795
RF,0.20843711269176057,1.6951049702175538,8.132452749546077,19.21383461154916,49.27006433873269
LGBM,0.4660416281749864,1.670191705489179,3.58378222999012,155.78402034235623,48.298724661734546
XGboost,0.1794118396021283,1.48954996021653,8.302406148444955,12.931953708150571,43.39979514689919
Feedforward_NN,0.3577818481388058,1.4896245524851557,4.163499518587197,38.84136498938784,43.67926712542041
CNN,0.3226481649519296,3.418992383804685,10.596658388911248,129.1413257732144,97.6291151880126
LSTM,0.3782816332881569,4.5166265103019,11.939851456814846,339.32653518846007,118.93487513016814
Transformer,0.17997320837122874,1.4597035545786858,8.110671403755672,13.988815426104422,42.444414665197336
